2025-05-12 00:22:56,502 - INFO - Starting Kafka Consumer...
2025-05-12 00:22:56,683 - INFO - Connected to PostgreSQL database.
2025-05-12 00:22:56,703 - INFO - <BrokerConnection client_id=kafka-python-2.2.3, node_id=bootstrap-0 host=localhost:9092 <connecting> [IPv6 ('::1', 9092, 0, 0)]>: connecting to localhost:9092 [('::1', 9092, 0, 0) IPv6]
2025-05-12 00:22:56,737 - INFO - <BrokerConnection client_id=kafka-python-2.2.3, node_id=bootstrap-0 host=localhost:9092 <checking_api_versions_recv> [IPv6 ('::1', 9092, 0, 0)]>: Broker version identified as 2.6
2025-05-12 00:22:56,738 - INFO - <BrokerConnection client_id=kafka-python-2.2.3, node_id=bootstrap-0 host=localhost:9092 <connected> [IPv6 ('::1', 9092, 0, 0)]>: Connection complete.
2025-05-12 00:22:56,741 - INFO - Updating subscribed topics to: ('heartbeat',)
2025-05-12 00:22:56,753 - INFO - <BrokerConnection client_id=kafka-python-2.2.3, node_id=1 host=localhost:9092 <connecting> [IPv6 ('::1', 9092, 0, 0)]>: connecting to localhost:9092 [('::1', 9092, 0, 0) IPv6]
2025-05-12 00:22:56,754 - INFO - <BrokerConnection client_id=kafka-python-2.2.3, node_id=1 host=localhost:9092 <connected> [IPv6 ('::1', 9092, 0, 0)]>: Connection complete.
2025-05-12 00:22:56,755 - INFO - <BrokerConnection client_id=kafka-python-2.2.3, node_id=bootstrap-0 host=localhost:9092 <connected> [IPv6 ('::1', 9092, 0, 0)]>: Closing connection. 
2025-05-12 00:22:56,875 - INFO - Coordinator for group/heartbeat_group is BrokerMetadata(nodeId='coordinator-1', host='localhost', port=9092, rack=None)
2025-05-12 00:22:56,875 - INFO - Discovered coordinator coordinator-1 for group heartbeat_group
2025-05-12 00:22:56,875 - INFO - Starting new heartbeat thread
2025-05-12 00:22:56,878 - INFO - Revoking previously assigned partitions set() for group heartbeat_group
2025-05-12 00:22:56,880 - INFO - <BrokerConnection client_id=kafka-python-2.2.3, node_id=coordinator-1 host=localhost:9092 <connecting> [IPv6 ('::1', 9092, 0, 0)]>: connecting to localhost:9092 [('::1', 9092, 0, 0) IPv6]
2025-05-12 00:22:56,881 - INFO - <BrokerConnection client_id=kafka-python-2.2.3, node_id=coordinator-1 host=localhost:9092 <connected> [IPv6 ('::1', 9092, 0, 0)]>: Connection complete.
2025-05-12 00:22:56,983 - INFO - (Re-)joining group heartbeat_group
2025-05-12 00:22:57,032 - INFO - (Re-)joining group heartbeat_group
2025-05-12 00:23:00,107 - INFO - Elected group leader -- performing partition assignments using range
2025-05-12 00:23:00,222 - INFO - Successfully joined group heartbeat_group with generation 21
2025-05-12 00:23:00,223 - INFO - Updated partition assignment: [TopicPartition(topic='heartbeat', partition=0)]
2025-05-12 00:23:00,224 - INFO - Setting newly assigned partitions {TopicPartition(topic='heartbeat', partition=0)} for group heartbeat_group
2025-05-12 00:23:01,361 - INFO - Received: {'customer_id': '1dd020fe-61a2-43c8-bfd9-5a80303218ea', 'timestamp': '2025-05-12T00:21:14.436561', 'heart_rate': 83}
2025-05-12 00:23:01,367 - INFO - Inserted data: {'customer_id': '1dd020fe-61a2-43c8-bfd9-5a80303218ea', 'timestamp': '2025-05-12T00:21:14.436561', 'heart_rate': 83}
2025-05-12 00:23:01,402 - INFO - Received: {'customer_id': '7736551e-140b-4a6b-9b7d-5e90e8210d25', 'timestamp': '2025-05-12T00:21:15.443033', 'heart_rate': 79}
2025-05-12 00:23:01,409 - INFO - Inserted data: {'customer_id': '7736551e-140b-4a6b-9b7d-5e90e8210d25', 'timestamp': '2025-05-12T00:21:15.443033', 'heart_rate': 79}
2025-05-12 00:23:01,439 - INFO - Received: {'customer_id': '2b642142-56be-473e-ae73-a4718e99b88f', 'timestamp': '2025-05-12T00:21:16.464756', 'heart_rate': 75}
2025-05-12 00:23:01,445 - INFO - Inserted data: {'customer_id': '2b642142-56be-473e-ae73-a4718e99b88f', 'timestamp': '2025-05-12T00:21:16.464756', 'heart_rate': 75}
2025-05-12 00:23:01,479 - INFO - Received: {'customer_id': '64189dfe-cf26-4acf-9dce-284cfbc06063', 'timestamp': '2025-05-12T00:21:17.467694', 'heart_rate': 60}
2025-05-12 00:23:01,485 - INFO - Inserted data: {'customer_id': '64189dfe-cf26-4acf-9dce-284cfbc06063', 'timestamp': '2025-05-12T00:21:17.467694', 'heart_rate': 60}
2025-05-12 00:23:01,516 - INFO - Received: {'customer_id': '64189dfe-cf26-4acf-9dce-284cfbc06063', 'timestamp': '2025-05-12T00:21:18.470890', 'heart_rate': 71}
2025-05-12 00:23:01,524 - INFO - Inserted data: {'customer_id': '64189dfe-cf26-4acf-9dce-284cfbc06063', 'timestamp': '2025-05-12T00:21:18.470890', 'heart_rate': 71}
2025-05-12 00:23:01,560 - INFO - Received: {'customer_id': '7736551e-140b-4a6b-9b7d-5e90e8210d25', 'timestamp': '2025-05-12T00:21:19.473609', 'heart_rate': 98}
2025-05-12 00:23:01,571 - INFO - Inserted data: {'customer_id': '7736551e-140b-4a6b-9b7d-5e90e8210d25', 'timestamp': '2025-05-12T00:21:19.473609', 'heart_rate': 98}
2025-05-12 00:23:01,605 - INFO - Received: {'customer_id': '7736551e-140b-4a6b-9b7d-5e90e8210d25', 'timestamp': '2025-05-12T00:21:20.479199', 'heart_rate': 79}
2025-05-12 00:23:01,614 - INFO - Inserted data: {'customer_id': '7736551e-140b-4a6b-9b7d-5e90e8210d25', 'timestamp': '2025-05-12T00:21:20.479199', 'heart_rate': 79}
2025-05-12 00:23:01,646 - INFO - Received: {'customer_id': 'b86354cc-6045-4b4c-be19-976a95382fd6', 'timestamp': '2025-05-12T00:21:21.483998', 'heart_rate': 75}
2025-05-12 00:23:01,653 - INFO - Inserted data: {'customer_id': 'b86354cc-6045-4b4c-be19-976a95382fd6', 'timestamp': '2025-05-12T00:21:21.483998', 'heart_rate': 75}
2025-05-12 00:23:01,712 - INFO - Received: {'customer_id': '7736551e-140b-4a6b-9b7d-5e90e8210d25', 'timestamp': '2025-05-12T00:21:22.486605', 'heart_rate': 70}
2025-05-12 00:23:01,719 - INFO - Inserted data: {'customer_id': '7736551e-140b-4a6b-9b7d-5e90e8210d25', 'timestamp': '2025-05-12T00:21:22.486605', 'heart_rate': 70}
2025-05-12 00:23:01,768 - INFO - Received: {'customer_id': '7736551e-140b-4a6b-9b7d-5e90e8210d25', 'timestamp': '2025-05-12T00:21:23.490332', 'heart_rate': 68}
2025-05-12 00:23:01,775 - INFO - Inserted data: {'customer_id': '7736551e-140b-4a6b-9b7d-5e90e8210d25', 'timestamp': '2025-05-12T00:21:23.490332', 'heart_rate': 68}
2025-05-12 00:23:01,845 - INFO - Received: {'customer_id': '2b642142-56be-473e-ae73-a4718e99b88f', 'timestamp': '2025-05-12T00:21:24.495819', 'heart_rate': 93}
2025-05-12 00:23:01,853 - INFO - Inserted data: {'customer_id': '2b642142-56be-473e-ae73-a4718e99b88f', 'timestamp': '2025-05-12T00:21:24.495819', 'heart_rate': 93}
2025-05-12 00:23:01,889 - INFO - Received: {'customer_id': '1dd020fe-61a2-43c8-bfd9-5a80303218ea', 'timestamp': '2025-05-12T00:21:25.499385', 'heart_rate': 87}
2025-05-12 00:23:01,895 - INFO - Inserted data: {'customer_id': '1dd020fe-61a2-43c8-bfd9-5a80303218ea', 'timestamp': '2025-05-12T00:21:25.499385', 'heart_rate': 87}
2025-05-12 00:23:01,923 - INFO - Received: {'customer_id': '7736551e-140b-4a6b-9b7d-5e90e8210d25', 'timestamp': '2025-05-12T00:21:26.503177', 'heart_rate': 82}
2025-05-12 00:23:01,931 - INFO - Inserted data: {'customer_id': '7736551e-140b-4a6b-9b7d-5e90e8210d25', 'timestamp': '2025-05-12T00:21:26.503177', 'heart_rate': 82}
2025-05-12 00:23:01,959 - INFO - Received: {'customer_id': '2b642142-56be-473e-ae73-a4718e99b88f', 'timestamp': '2025-05-12T00:21:27.508355', 'heart_rate': 84}
2025-05-12 00:23:01,966 - INFO - Inserted data: {'customer_id': '2b642142-56be-473e-ae73-a4718e99b88f', 'timestamp': '2025-05-12T00:21:27.508355', 'heart_rate': 84}
2025-05-12 00:23:02,000 - INFO - Received: {'customer_id': '1dd020fe-61a2-43c8-bfd9-5a80303218ea', 'timestamp': '2025-05-12T00:21:28.511391', 'heart_rate': 89}
2025-05-12 00:23:02,006 - INFO - Inserted data: {'customer_id': '1dd020fe-61a2-43c8-bfd9-5a80303218ea', 'timestamp': '2025-05-12T00:21:28.511391', 'heart_rate': 89}
2025-05-12 00:23:02,037 - INFO - Received: {'customer_id': '2b642142-56be-473e-ae73-a4718e99b88f', 'timestamp': '2025-05-12T00:21:29.517252', 'heart_rate': 99}
2025-05-12 00:23:02,042 - INFO - Inserted data: {'customer_id': '2b642142-56be-473e-ae73-a4718e99b88f', 'timestamp': '2025-05-12T00:21:29.517252', 'heart_rate': 99}
2025-05-12 00:23:02,080 - INFO - Received: {'customer_id': 'b86354cc-6045-4b4c-be19-976a95382fd6', 'timestamp': '2025-05-12T00:21:30.528789', 'heart_rate': 98}
2025-05-12 00:23:02,086 - INFO - Inserted data: {'customer_id': 'b86354cc-6045-4b4c-be19-976a95382fd6', 'timestamp': '2025-05-12T00:21:30.528789', 'heart_rate': 98}
2025-05-12 00:23:02,115 - INFO - Received: {'customer_id': '7736551e-140b-4a6b-9b7d-5e90e8210d25', 'timestamp': '2025-05-12T00:21:31.536721', 'heart_rate': 90}
2025-05-12 00:23:02,120 - INFO - Inserted data: {'customer_id': '7736551e-140b-4a6b-9b7d-5e90e8210d25', 'timestamp': '2025-05-12T00:21:31.536721', 'heart_rate': 90}
2025-05-12 00:23:02,155 - INFO - Received: {'customer_id': '2b642142-56be-473e-ae73-a4718e99b88f', 'timestamp': '2025-05-12T00:21:32.541370', 'heart_rate': 91}
2025-05-12 00:23:02,161 - INFO - Inserted data: {'customer_id': '2b642142-56be-473e-ae73-a4718e99b88f', 'timestamp': '2025-05-12T00:21:32.541370', 'heart_rate': 91}
2025-05-12 00:23:02,192 - INFO - Received: {'customer_id': '64189dfe-cf26-4acf-9dce-284cfbc06063', 'timestamp': '2025-05-12T00:21:33.544754', 'heart_rate': 91}
2025-05-12 00:23:02,198 - INFO - Inserted data: {'customer_id': '64189dfe-cf26-4acf-9dce-284cfbc06063', 'timestamp': '2025-05-12T00:21:33.544754', 'heart_rate': 91}
2025-05-12 00:23:02,232 - INFO - Received: {'customer_id': '64189dfe-cf26-4acf-9dce-284cfbc06063', 'timestamp': '2025-05-12T00:21:34.556911', 'heart_rate': 88}
2025-05-12 00:23:02,239 - INFO - Inserted data: {'customer_id': '64189dfe-cf26-4acf-9dce-284cfbc06063', 'timestamp': '2025-05-12T00:21:34.556911', 'heart_rate': 88}
2025-05-12 00:23:02,270 - INFO - Received: {'customer_id': '2b642142-56be-473e-ae73-a4718e99b88f', 'timestamp': '2025-05-12T00:21:35.561045', 'heart_rate': 70}
2025-05-12 00:23:02,276 - INFO - Inserted data: {'customer_id': '2b642142-56be-473e-ae73-a4718e99b88f', 'timestamp': '2025-05-12T00:21:35.561045', 'heart_rate': 70}
2025-05-12 00:23:02,421 - INFO - Received: {'customer_id': '64189dfe-cf26-4acf-9dce-284cfbc06063', 'timestamp': '2025-05-12T00:21:36.570920', 'heart_rate': 65}
2025-05-12 00:23:02,428 - INFO - Inserted data: {'customer_id': '64189dfe-cf26-4acf-9dce-284cfbc06063', 'timestamp': '2025-05-12T00:21:36.570920', 'heart_rate': 65}
2025-05-12 00:23:02,458 - INFO - Received: {'customer_id': 'b86354cc-6045-4b4c-be19-976a95382fd6', 'timestamp': '2025-05-12T00:21:37.574066', 'heart_rate': 94}
2025-05-12 00:23:02,464 - INFO - Inserted data: {'customer_id': 'b86354cc-6045-4b4c-be19-976a95382fd6', 'timestamp': '2025-05-12T00:21:37.574066', 'heart_rate': 94}
2025-05-12 00:23:02,498 - INFO - Received: {'customer_id': '64189dfe-cf26-4acf-9dce-284cfbc06063', 'timestamp': '2025-05-12T00:21:38.577595', 'heart_rate': 79}
2025-05-12 00:23:02,504 - INFO - Inserted data: {'customer_id': '64189dfe-cf26-4acf-9dce-284cfbc06063', 'timestamp': '2025-05-12T00:21:38.577595', 'heart_rate': 79}
2025-05-12 00:23:02,536 - INFO - Received: {'customer_id': '7736551e-140b-4a6b-9b7d-5e90e8210d25', 'timestamp': '2025-05-12T00:21:39.580628', 'heart_rate': 93}
2025-05-12 00:23:02,542 - INFO - Inserted data: {'customer_id': '7736551e-140b-4a6b-9b7d-5e90e8210d25', 'timestamp': '2025-05-12T00:21:39.580628', 'heart_rate': 93}
2025-05-12 00:23:02,576 - INFO - Received: {'customer_id': '2b642142-56be-473e-ae73-a4718e99b88f', 'timestamp': '2025-05-12T00:21:40.588003', 'heart_rate': 88}
2025-05-12 00:23:02,583 - INFO - Inserted data: {'customer_id': '2b642142-56be-473e-ae73-a4718e99b88f', 'timestamp': '2025-05-12T00:21:40.588003', 'heart_rate': 88}
2025-05-12 00:23:02,613 - INFO - Received: {'customer_id': '7736551e-140b-4a6b-9b7d-5e90e8210d25', 'timestamp': '2025-05-12T00:21:41.591963', 'heart_rate': 60}
2025-05-12 00:23:02,620 - INFO - Inserted data: {'customer_id': '7736551e-140b-4a6b-9b7d-5e90e8210d25', 'timestamp': '2025-05-12T00:21:41.591963', 'heart_rate': 60}
2025-05-12 00:23:02,654 - INFO - Received: {'customer_id': 'b86354cc-6045-4b4c-be19-976a95382fd6', 'timestamp': '2025-05-12T00:21:42.595686', 'heart_rate': 98}
2025-05-12 00:23:02,661 - INFO - Inserted data: {'customer_id': 'b86354cc-6045-4b4c-be19-976a95382fd6', 'timestamp': '2025-05-12T00:21:42.595686', 'heart_rate': 98}
2025-05-12 00:23:02,691 - INFO - Received: {'customer_id': '1dd020fe-61a2-43c8-bfd9-5a80303218ea', 'timestamp': '2025-05-12T00:21:43.599780', 'heart_rate': 83}
2025-05-12 00:23:02,699 - INFO - Inserted data: {'customer_id': '1dd020fe-61a2-43c8-bfd9-5a80303218ea', 'timestamp': '2025-05-12T00:21:43.599780', 'heart_rate': 83}
2025-05-12 00:23:02,732 - INFO - Received: {'customer_id': '2b642142-56be-473e-ae73-a4718e99b88f', 'timestamp': '2025-05-12T00:21:44.607376', 'heart_rate': 96}
2025-05-12 00:23:02,740 - INFO - Inserted data: {'customer_id': '2b642142-56be-473e-ae73-a4718e99b88f', 'timestamp': '2025-05-12T00:21:44.607376', 'heart_rate': 96}
2025-05-12 00:23:02,768 - INFO - Received: {'customer_id': '2b642142-56be-473e-ae73-a4718e99b88f', 'timestamp': '2025-05-12T00:21:45.611628', 'heart_rate': 63}
2025-05-12 00:23:02,776 - INFO - Inserted data: {'customer_id': '2b642142-56be-473e-ae73-a4718e99b88f', 'timestamp': '2025-05-12T00:21:45.611628', 'heart_rate': 63}
2025-05-12 00:23:02,809 - INFO - Received: {'customer_id': 'b86354cc-6045-4b4c-be19-976a95382fd6', 'timestamp': '2025-05-12T00:21:46.615719', 'heart_rate': 81}
2025-05-12 00:23:02,817 - INFO - Inserted data: {'customer_id': 'b86354cc-6045-4b4c-be19-976a95382fd6', 'timestamp': '2025-05-12T00:21:46.615719', 'heart_rate': 81}
2025-05-12 00:23:02,845 - INFO - Received: {'customer_id': '7736551e-140b-4a6b-9b7d-5e90e8210d25', 'timestamp': '2025-05-12T00:21:47.621273', 'heart_rate': 82}
2025-05-12 00:23:02,854 - INFO - Inserted data: {'customer_id': '7736551e-140b-4a6b-9b7d-5e90e8210d25', 'timestamp': '2025-05-12T00:21:47.621273', 'heart_rate': 82}
2025-05-12 00:23:02,886 - INFO - Received: {'customer_id': '1dd020fe-61a2-43c8-bfd9-5a80303218ea', 'timestamp': '2025-05-12T00:21:48.624978', 'heart_rate': 77}
2025-05-12 00:23:02,893 - INFO - Inserted data: {'customer_id': '1dd020fe-61a2-43c8-bfd9-5a80303218ea', 'timestamp': '2025-05-12T00:21:48.624978', 'heart_rate': 77}
2025-05-12 00:23:02,924 - INFO - Received: {'customer_id': '1dd020fe-61a2-43c8-bfd9-5a80303218ea', 'timestamp': '2025-05-12T00:21:49.631324', 'heart_rate': 83}
2025-05-12 00:23:02,932 - INFO - Inserted data: {'customer_id': '1dd020fe-61a2-43c8-bfd9-5a80303218ea', 'timestamp': '2025-05-12T00:21:49.631324', 'heart_rate': 83}
2025-05-12 00:23:02,965 - INFO - Received: {'customer_id': '2b642142-56be-473e-ae73-a4718e99b88f', 'timestamp': '2025-05-12T00:21:50.635618', 'heart_rate': 97}
2025-05-12 00:23:02,972 - INFO - Inserted data: {'customer_id': '2b642142-56be-473e-ae73-a4718e99b88f', 'timestamp': '2025-05-12T00:21:50.635618', 'heart_rate': 97}
2025-05-12 00:23:03,001 - INFO - Received: {'customer_id': '1dd020fe-61a2-43c8-bfd9-5a80303218ea', 'timestamp': '2025-05-12T00:21:51.643195', 'heart_rate': 82}
2025-05-12 00:23:03,007 - INFO - Inserted data: {'customer_id': '1dd020fe-61a2-43c8-bfd9-5a80303218ea', 'timestamp': '2025-05-12T00:21:51.643195', 'heart_rate': 82}
2025-05-12 00:23:03,041 - INFO - Received: {'customer_id': '64189dfe-cf26-4acf-9dce-284cfbc06063', 'timestamp': '2025-05-12T00:21:52.646379', 'heart_rate': 87}
2025-05-12 00:23:03,047 - INFO - Inserted data: {'customer_id': '64189dfe-cf26-4acf-9dce-284cfbc06063', 'timestamp': '2025-05-12T00:21:52.646379', 'heart_rate': 87}
2025-05-12 00:23:03,078 - INFO - Received: {'customer_id': '2b642142-56be-473e-ae73-a4718e99b88f', 'timestamp': '2025-05-12T00:21:53.649917', 'heart_rate': 92}
2025-05-12 00:23:03,085 - INFO - Inserted data: {'customer_id': '2b642142-56be-473e-ae73-a4718e99b88f', 'timestamp': '2025-05-12T00:21:53.649917', 'heart_rate': 92}
2025-05-12 00:23:03,119 - INFO - Received: {'customer_id': '1dd020fe-61a2-43c8-bfd9-5a80303218ea', 'timestamp': '2025-05-12T00:21:54.654298', 'heart_rate': 84}
2025-05-12 00:23:03,125 - INFO - Inserted data: {'customer_id': '1dd020fe-61a2-43c8-bfd9-5a80303218ea', 'timestamp': '2025-05-12T00:21:54.654298', 'heart_rate': 84}
2025-05-12 00:23:03,155 - INFO - Received: {'customer_id': '7736551e-140b-4a6b-9b7d-5e90e8210d25', 'timestamp': '2025-05-12T00:21:55.664161', 'heart_rate': 73}
2025-05-12 00:23:03,161 - INFO - Inserted data: {'customer_id': '7736551e-140b-4a6b-9b7d-5e90e8210d25', 'timestamp': '2025-05-12T00:21:55.664161', 'heart_rate': 73}
2025-05-12 00:23:03,196 - INFO - Received: {'customer_id': '64189dfe-cf26-4acf-9dce-284cfbc06063', 'timestamp': '2025-05-12T00:21:56.666781', 'heart_rate': 78}
2025-05-12 00:23:03,204 - INFO - Inserted data: {'customer_id': '64189dfe-cf26-4acf-9dce-284cfbc06063', 'timestamp': '2025-05-12T00:21:56.666781', 'heart_rate': 78}
2025-05-12 00:23:03,233 - INFO - Received: {'customer_id': '64189dfe-cf26-4acf-9dce-284cfbc06063', 'timestamp': '2025-05-12T00:21:57.669350', 'heart_rate': 71}
2025-05-12 00:23:03,264 - INFO - Inserted data: {'customer_id': '64189dfe-cf26-4acf-9dce-284cfbc06063', 'timestamp': '2025-05-12T00:21:57.669350', 'heart_rate': 71}
2025-05-12 00:23:03,318 - INFO - Received: {'customer_id': 'b86354cc-6045-4b4c-be19-976a95382fd6', 'timestamp': '2025-05-12T00:21:58.672722', 'heart_rate': 85}
2025-05-12 00:23:03,326 - INFO - Inserted data: {'customer_id': 'b86354cc-6045-4b4c-be19-976a95382fd6', 'timestamp': '2025-05-12T00:21:58.672722', 'heart_rate': 85}
2025-05-12 00:23:03,422 - INFO - Received: {'customer_id': '7736551e-140b-4a6b-9b7d-5e90e8210d25', 'timestamp': '2025-05-12T00:21:59.679943', 'heart_rate': 96}
2025-05-12 00:23:03,430 - INFO - Inserted data: {'customer_id': '7736551e-140b-4a6b-9b7d-5e90e8210d25', 'timestamp': '2025-05-12T00:21:59.679943', 'heart_rate': 96}
2025-05-12 00:23:03,484 - INFO - Received: {'customer_id': '7736551e-140b-4a6b-9b7d-5e90e8210d25', 'timestamp': '2025-05-12T00:22:00.682530', 'heart_rate': 70}
2025-05-12 00:23:03,491 - INFO - Inserted data: {'customer_id': '7736551e-140b-4a6b-9b7d-5e90e8210d25', 'timestamp': '2025-05-12T00:22:00.682530', 'heart_rate': 70}
2025-05-12 00:23:03,543 - INFO - Received: {'customer_id': '7736551e-140b-4a6b-9b7d-5e90e8210d25', 'timestamp': '2025-05-12T00:22:01.687002', 'heart_rate': 88}
2025-05-12 00:23:03,550 - INFO - Inserted data: {'customer_id': '7736551e-140b-4a6b-9b7d-5e90e8210d25', 'timestamp': '2025-05-12T00:22:01.687002', 'heart_rate': 88}
2025-05-12 00:23:03,610 - INFO - Received: {'customer_id': '2b642142-56be-473e-ae73-a4718e99b88f', 'timestamp': '2025-05-12T00:22:02.690846', 'heart_rate': 87}
2025-05-12 00:23:03,617 - INFO - Inserted data: {'customer_id': '2b642142-56be-473e-ae73-a4718e99b88f', 'timestamp': '2025-05-12T00:22:02.690846', 'heart_rate': 87}
2025-05-12 00:23:03,684 - INFO - Received: {'customer_id': '2b642142-56be-473e-ae73-a4718e99b88f', 'timestamp': '2025-05-12T00:22:03.697044', 'heart_rate': 68}
